largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
9.264;-0.02546771;2.5;;
9.264;-0.02543468;2.5;;
9.265;-0.02537672;2.5;;
9.284;0.05376257;2.5;;
9.285;0.05452373;2.5;;
9.308;0.1084171;2.5;;
9.328;0.1619802;2.5;;
9.33;0.1624817;2.5;;
9.351;0.2149175;2.5;;
9.352;0.2157801;2.5;;
9.353;0.2160446;2.5;;
9.374;0.2686423;2.5;;
9.375;0.2698861;2.5;;
9.376;0.2698861;2.5;;
9.395;0.3225715;2.5;;
9.396;0.3231277;2.5;;
9.418;0.3496905;2.5;;
9.419;0.3499349;2.5;;
9.424;0.3499664;2.5;;
9.428;0.3499908;2.5;;
9.4308497;;;-0.48987523946589;-0.473182218639973
9.424;0.3499664;2.5;;
9.428;0.3499908;2.5;;
9.441;0.4346905;2.5;;
9.444;0.4361883;2.5;;
9.467;0.4834946;2.5;;
9.468;0.4839269;2.5;;
9.47;0.4840055;2.5;;
9.491;0.5372193;2.5;;
9.492;0.5378616;2.5;;
9.493;0.5378616;2.5;;
9.493;0.5378616;2.5;;
9.494;0.5378616;2.5;;
9.513;0.5900198;2.5;;
9.514;0.590955;2.5;;
9.534;0.6436058;2.5;;
9.535;0.6445151;2.5;;
9.557;0.6972723;2.5;;
9.558;0.6981123;2.5;;
9.58;0.7512419;2.5;;
9.583;0.7522777;2.5;;
9.612;0.8318726;2.5;;
9.613;0.832742;2.5;;
9.614;0.833065;2.5;;
9.634;0.8848251;2.5;;
9.635;0.8856446;2.5;;
9.656;0.9391413;2.5;;
9.658;0.9402312;2.5;;
9.678;0.992526;2.5;;
9.679;0.9930151;2.5;;
9.679;0.9930982;2.5;;
9.699;1.045734;2.5;;
9.7;1.046281;2.5;;
9.701;1.046383;2.5;;
9.721;1.100313;2.5;;
9.722;1.100313;2.5;;
9.735184;;;-0.48915545737669;-0.489128714869494
9.745;1.16646;2.5;;
9.746;1.16646;2.5;;
9.766;1.207376;2.5;;
9.767;1.207376;2.5;;
9.768;1.207376;2.5;;
9.789;1.260719;2.5;;
9.791;1.261279;2.5;;
9.81;1.314258;2.5;;
9.811;1.314827;2.5;;
9.812;1.314917;2.5;;
9.832;1.367815;2.5;;
9.833;1.368358;2.5;;
9.855;1.421586;2.5;;
9.856;1.422047;2.5;;
9.876;1.475022;2.5;;
9.877;1.475585;2.5;;
