large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
8.213;-0.7518097;0;;
8.214;-0.7518097;0;;
8.215;-0.7721503;0;;
8.222;-0.7794871;0;;
8.234;-0.8051385;0;;
8.235;-0.8055363;0;;
8.235;-0.8055932;0;;
8.236;-0.8056637;0;;
8.255;-0.8583371;0;;
8.256;-0.8588434;0;;
8.256;-0.8589243;0;;
8.257;-0.8589984;0;;
8.276;-0.9123997;0;;
8.277;-0.9129353;0;;
8.277;-0.9130253;0;;
8.278;-0.913091;0;;
8.297;-0.9655194;0;;
8.298;-0.9660402;0;;
8.298;-0.9661297;0;;
8.318;-1.018914;0;;
8.319;-1.01942;0;;
8.32;-1.019565;0;;
8.3266468;;;0.45624309286449;0.299639591705987
8.34;-1.073657;0;;
8.34;-1.073657;0;;
8.341;-1.073657;0;;
8.341;-1.073657;0;;
8.361;-1.127717;0;;
8.362;-1.128245;0;;
8.362;-1.128333;0;;
8.363;-1.128372;0;;
