smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
7.583;1.078141;1;;
7.583;1.078141;1;;
7.584;1.078141;1;;
7.604;1.032335;1;;
7.605;1.032335;1;;
7.605;1.032335;1;;
7.625;0.9890392;1;;
7.626;0.9886565;1;;
7.626;0.988624;1;;
7.627;0.9885275;1;;
7.648;0.9336972;1;;
7.655;0.9330547;1;;
7.656;0.9330373;1;;
7.656;0.9330349;1;;
7.657;0.9330313;1;;
7.669;0.8978613;1;;
7.6794494;;;-0.498313331448477;-0.366851166952074
7.691;0.8544384;1;;
7.692;0.8539486;1;;
7.693;0.8539486;1;;
7.693;0.8539486;1;;
7.694;0.8539486;1;;
7.713;0.8115824;1;;
7.714;0.8105386;1;;
7.715;0.8100296;1;;
7.716;0.809947;1;;
7.735;0.787371;1;;
7.736;0.7700082;1;;
7.737;0.7648832;1;;
7.738;0.7648832;1;;
7.757;0.7214705;1;;
7.758;0.7203736;1;;
7.759;0.7198762;1;;
7.76;0.719807;1;;
7.78;0.6974515;1;;
7.78;0.6832159;1;;
7.781;0.675571;1;;
7.782;0.675571;1;;
7.802;0.6231403;1;;
7.803;0.6222094;1;;
7.804;0.6219158;1;;
7.805;0.6218673;1;;
7.824;0.6087608;1;;
7.825;0.5899652;1;;
7.826;0.5856248;1;;
7.827;0.5856248;1;;
7.847;0.5627964;1;;
7.848;0.5417201;1;;
7.849;0.5417201;1;;
7.849;0.5417201;1;;
7.868;0.5196185;1;;
7.869;0.5029585;1;;
7.87;0.4981991;1;;
7.871;0.4974689;1;;
7.892;0.453985;1;;
7.892;0.4535758;1;;
7.894;0.4525552;1;;
7.894;0.4524803;1;;
7.914;0.4093901;1;;
7.914;0.4088994;1;;
7.916;0.4077552;1;;
7.917;0.4077552;1;;
7.936;0.3642293;1;;
7.937;0.3634385;1;;
7.938;0.3631659;1;;
7.938;0.363119;1;;
7.958;0.3404486;1;;
7.958;0.3402671;1;;
7.959;0.3128355;1;;
7.966;0.3082202;1;;
7.979;0.2956052;1;;
7.98;0.2954045;1;;
7.9812503;;;-0.497984923697767;-0.496186998158609
7.966;0.3082202;1;;
7.979;0.2956052;1;;
7.98;0.2954045;1;;
7.981;0.2790497;1;;
7.982;0.277592;1;;
8.003;0.2515821;1;;
8.004;0.2376379;1;;
8.005;0.2290041;1;;
8.006;0.2290041;1;;
8.025;0.205457;1;;
8.026;0.1902316;1;;
8.027;0.185831;1;;
8.027;0.1852504;1;;
8.047;0.161887;1;;
8.048;0.147443;1;;
8.049;0.139627;1;;
