horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
6.31;-2;-1.671677;;
6.311;-2;-1.671328;;
6.311;-2;-1.67116;;
6.312;-2;-1.67116;;
6.313;-2;-1.67116;;
6.332;-2;-1.626864;;
6.333;-2;-1.626446;;
6.333;-2;-1.626402;;
6.334;-2;-1.626307;;
6.355;-2;-1.581986;;
6.356;-2;-1.581555;;
6.357;-2;-1.581478;;
6.378;-2;-1.536737;;
6.379;-2;-1.536737;;
6.379;-2;-1.536737;;
6.38;-2;-1.536737;;
6.38;-2;-1.536737;;
6.4;-2;-1.492303;;
6.4;-2;-1.492303;;
6.401;-2;-1.492303;;
6.401;-2;-1.492303;;
6.421;-2;-1.469944;;
6.422;-2;-1.469728;;
6.422;-2;-1.46969;;
6.423;-2;-1.469668;;
6.442;-2;-1.403664;;
6.443;-2;-1.402941;;
6.444;-2;-1.40283;;
6.465;-2;-1.358346;;
6.488;-2;-1.313775;;
6.488;-2;-1.313452;;
6.4962664;;;0.48388846253318;0.187391268609813
6.51;-2;-1.268994;;
6.511;-2;-1.268637;;
6.553;-2;-1.179437;;
6.554;-2;-1.179046;;
6.574;-2;-1.156931;;
6.575;-2;-1.156722;;
6.575;-2;-1.15665;;
6.576;-2;-1.15665;;
6.595;-2;-1.11306;;
6.596;-2;-1.112586;;
6.597;-2;-1.09324;;
6.598;-2;-1.090378;;
6.617;-2;-1.067922;;
6.619;-2;-1.067666;;
6.62;-2;-1.050119;;
6.642;-2;-1.023313;;
6.643;-2;-1.023058;;
6.644;-2;-1.002206;;
6.645;-2;-0.9964459;;
6.646;-2;-0.9964459;;
6.661;-2;-0.9782049;;
6.661;-2;-0.9780077;;
6.662;-2;-0.977899;;
6.682;-2;-0.9329079;;
6.683;-2;-0.9329079;;
6.684;-2;-0.9329079;;
6.685;-2;-0.9329079;;
6.703;-2;-0.8894923;;
6.704;-2;-0.8890748;;
6.704;-2;-0.889035;;
6.705;-2;-0.8889345;;
6.724;-2;-0.8446878;;
6.725;-2;-0.8442741;;
6.725;-2;-0.8442189;;
6.726;-2;-0.8441077;;
6.769;-2;-0.7549422;;
6.79;-2;-0.7103268;;
6.791;-2;-0.7103268;;
6.792;-2;-0.7103268;;
6.792;-2;-0.7103268;;
6.7980685;;;-0.34819314852769;0.176313726340439
6.79;-2;-0.7103268;;
6.791;-2;-0.7103268;;
6.792;-2;-0.7103268;;
6.792;-2;-0.7103268;;
6.811;-2;-0.6660429;;
6.812;-2;-0.6655993;;
6.813;-2;-0.6654692;;
6.814;-2;-0.6654692;;
6.814;-2;-0.6654692;;
6.833;-2;-0.6214486;;
6.834;-2;-0.6209905;;
6.834;-2;-0.6209122;;
6.854;-2;-0.5767679;;
6.855;-2;-0.5763384;;
6.856;-2;-0.5762275;;
6.857;-2;-0.5762275;;
6.876;-2;-0.5319767;;
6.877;-2;-0.5311498;;
6.879;-2;-0.5308713;;
6.879;-2;-0.5308658;;
6.897;-2;-0.499072;;
6.899;-2;-0.4880227;;
6.9;-2;-0.4869432;;
6.921;-2;-0.442529;;
6.922;-2;-0.442002;;
6.923;-2;-0.442002;;
6.923;-2;-0.442002;;
6.924;-2;-0.442002;;
6.942;-2;-0.4199747;;
6.944;-2;-0.3998817;;
6.945;-2;-0.3969226;;
6.966;-2;-0.3752694;;
6.966;-2;-0.3632601;;
6.967;-2;-0.3547257;;
6.968;-2;-0.3519377;;
6.969;-2;-0.3519377;;
6.987;-2;-0.3305568;;
6.988;-2;-0.3116589;;
6.989;-2;-0.3080774;;
7.01;-2;-0.2633761;;
7.011;-2;-0.2633761;;
7.032;-2;-0.2203599;;
7.055;-2;-0.1757986;;
7.058;-2;-0.174013;;
7.058;-2;-0.1740066;;
7.059;-2;-0.1738345;;
7.086;-2;-0.1133102;;
7.087;-2;-0.1133102;;
7.087;-2;-0.1133102;;
7.088;-2;-0.1133102;;
7.089;-2;-0.1133102;;
7.099871;;;0.0219666130031265;0.0525539756695388
7.086;-2;-0.1133102;;
7.087;-2;-0.1133102;;
7.087;-2;-0.1133102;;
7.088;-2;-0.1133102;;
7.089;-2;-0.1133102;;
7.1;-2;-0.08705494;;
7.101;-2;-0.08681374;;
7.103;-2;-0.08448628;;
7.122;-2;-0.04026902;;
7.123;-2;-0.03984637;;
7.123;-2;-0.03978084;;
7.124;-2;-0.0396912;;
7.143;-2;-0.01789751;;
7.144;-2;-0.002778408;;
7.145;-2;0.002312837;;
7.146;-2;0.004454504;;
7.164;-2;0.02687879;;
7.166;-2;0.02711075;;
7.166;-2;0.02900263;;
7.167;-2;0.04604782;;
7.185;-2;0.07114774;;
7.186;-2;0.07149028;;
7.187;-2;0.07149028;;
7.187;-2;0.07149028;;
7.207;-2;0.1261862;;
7.208;-2;0.1267266;;
7.208;-2;0.126819;;
7.209;-2;0.1268756;;
7.228;-2;0.1609588;;
7.229;-2;0.1609588;;
7.23;-2;0.1609588;;
7.23;-2;0.1609588;;
7.25;-2;0.2056632;;
7.25;-2;0.2056632;;
7.251;-2;0.2056632;;
7.272;-2;0.2497094;;
7.272;-2;0.2498374;;
7.273;-2;0.2502464;;
7.273;-2;0.2502464;;
7.294;-2;0.2956422;;
7.294;-2;0.2956422;;
7.295;-2;0.2956422;;
7.296;-2;0.2956422;;
7.314;-2;0.3391593;;
